Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PV283029,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,4,1701,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283030,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,7,982,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283031,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,6,1410,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283032,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,5,1497,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283033,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,8,838,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283034,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,3,2151,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283035,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,2,2274,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283036,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,1,2280,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283037,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,4,1701,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283038,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,7,982,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283039,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,6,1410,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
