,Accession,Genotype,Segment,Length,Collection_Date,season,Latent
0,PV283060,H1N1,1,2280,2024-12-30,2024/25,"[30.597551345825195, -12.617039680480957]"
1,PV283059,H1N1,2,2274,2024-12-30,2024/25,"[81.76383209228516, 18.627729415893555]"
2,PV283058,H1N1,3,2151,2024-12-30,2024/25,"[90.32715606689453, 28.209314346313477]"
3,PV283057,H1N1,8,838,2024-12-30,2024/25,"[3.9423556327819824, 19.518476486206055]"
4,PV283056,H1N1,5,1497,2024-12-30,2024/25,"[33.13465118408203, 34.237300872802734]"
5,PV283055,H1N1,6,1410,2024-12-30,2024/25,"[16.73421287536621, 20.401805877685547]"
6,PV283054,H1N1,7,982,2024-12-30,2024/25,"[-0.9292798638343811, 26.603635787963867]"
7,PV283053,H1N1,4,1701,2024-12-30,2024/25,"[60.99518585205078, 38.319305419921875]"
8,PV283052,H1N1,1,2280,2024-12-23,2024/25,"[30.924158096313477, -12.67215633392334]"
9,PV283051,H1N1,2,2274,2024-12-23,2024/25,"[82.23348236083984, 18.78931999206543]"
10,PV283050,H1N1,3,2151,2024-12-23,2024/25,"[90.25196838378906, 28.13855743408203]"
11,PV283049,H1N1,8,838,2024-12-23,2024/25,"[3.939962863922119, 19.606876373291016]"
12,PV283048,H1N1,5,1497,2024-12-23,2024/25,"[33.05643081665039, 34.18522262573242]"
13,PV283047,H1N1,6,1410,2024-12-23,2024/25,"[16.525089263916016, 20.310688018798828]"
14,PV283046,H1N1,7,982,2024-12-23,2024/25,"[-1.0815411806106567, 26.490337371826172]"
15,PV283045,H1N1,4,1701,2024-12-23,2024/25,"[59.957122802734375, 37.57024002075195]"
16,PV283044,H1N1,1,2280,2024-12-17,2024/25,"[30.6453800201416, -12.682113647460938]"
17,PV283043,H1N1,2,2274,2024-12-17,2024/25,"[82.18730163574219, 18.787071228027344]"
18,PV283042,H1N1,3,2151,2024-12-17,2024/25,"[90.20060729980469, 28.085710525512695]"
19,PV283041,H1N1,8,838,2024-12-17,2024/25,"[3.8658437728881836, 19.416458129882812]"
20,PV283040,H1N1,5,1497,2024-12-17,2024/25,"[33.076534271240234, 34.20922088623047]"
21,PV283039,H1N1,6,1410,2024-12-17,2024/25,"[16.35429573059082, 20.16519546508789]"
22,PV283038,H1N1,7,982,2024-12-17,2024/25,"[-1.0812844038009644, 26.42486000061035]"
23,PV283037,H1N1,4,1701,2024-12-17,2024/25,"[60.22831726074219, 37.82695007324219]"
24,PV283036,H1N1,1,2280,2024-12-30,2024/25,"[30.75843048095703, -12.651806831359863]"
25,PV283035,H1N1,2,2274,2024-12-30,2024/25,"[82.23169708251953, 18.754074096679688]"
26,PV283034,H1N1,3,2151,2024-12-30,2024/25,"[90.25196838378906, 28.13855743408203]"
27,PV283033,H1N1,8,838,2024-12-30,2024/25,"[3.8153302669525146, 19.388179779052734]"
28,PV283032,H1N1,5,1497,2024-12-30,2024/25,"[32.885868072509766, 34.009403228759766]"
29,PV283031,H1N1,6,1410,2024-12-30,2024/25,"[16.52910041809082, 20.291772842407227]"
30,PV283030,H1N1,7,982,2024-12-30,2024/25,"[-1.162595272064209, 26.33868408203125]"
31,PV283029,H1N1,4,1701,2024-12-30,2024/25,"[60.05976104736328, 37.624324798583984]"
32,PV200724,H1N1,1,2280,2024-12-03,2024/25,"[30.757892608642578, -12.675128936767578]"
33,PV200723,H1N1,2,2274,2024-12-03,2024/25,"[82.44366455078125, 18.861587524414062]"
34,PV200722,H1N1,3,2151,2024-12-03,2024/25,"[89.37018585205078, 28.441614151000977]"
35,PV200721,H1N1,8,838,2024-12-03,2024/25,"[3.9267032146453857, 19.40094757080078]"
36,PV200720,H1N1,5,1497,2024-12-03,2024/25,"[32.97771072387695, 34.152164459228516]"
37,PV200719,H1N1,6,1410,2024-12-03,2024/25,"[16.46194076538086, 20.258358001708984]"
38,PV200718,H1N1,7,982,2024-12-03,2024/25,"[-1.0760821104049683, 26.369173049926758]"
39,PV200717,H1N1,4,1701,2024-12-03,2024/25,"[60.185943603515625, 37.73183059692383]"
40,PV200716,H1N1,1,2280,2024-12-11,2024/25,"[30.973445892333984, -12.683334350585938]"
41,PV200715,H1N1,2,2274,2024-12-11,2024/25,"[82.43134307861328, 18.813039779663086]"
42,PV200714,H1N1,3,2151,2024-12-11,2024/25,"[89.91322326660156, 28.000898361206055]"
43,PV200713,H1N1,8,838,2024-12-11,2024/25,"[3.9287924766540527, 19.436113357543945]"
44,PV200712,H1N1,5,1497,2024-12-11,2024/25,"[32.97771072387695, 34.152164459228516]"
45,PV200711,H1N1,6,1410,2024-12-11,2024/25,"[16.473976135253906, 20.253231048583984]"
46,PV200710,H1N1,7,982,2024-12-11,2024/25,"[-1.0760821104049683, 26.369173049926758]"
47,PV200709,H1N1,4,1701,2024-12-11,2024/25,"[60.321773529052734, 37.806861877441406]"
48,PV200708,H1N1,1,2280,2024-12-11,2024/25,"[30.81389045715332, -12.636484146118164]"
49,PV200707,H1N1,2,2274,2024-12-11,2024/25,"[82.53045654296875, 18.92697525024414]"
50,PV200706,H1N1,3,2151,2024-12-11,2024/25,"[90.11881256103516, 28.07322120666504]"
51,PV200705,H1N1,8,838,2024-12-11,2024/25,"[3.946254253387451, 19.564132690429688]"
52,PV200704,H1N1,5,1497,2024-12-11,2024/25,"[32.93622589111328, 34.12488555908203]"
53,PV200703,H1N1,6,1410,2024-12-11,2024/25,"[16.198041915893555, 20.04048728942871]"
54,PV200702,H1N1,7,982,2024-12-11,2024/25,"[-1.0663150548934937, 26.414291381835938]"
55,PV200701,H1N1,4,1701,2024-12-11,2024/25,"[59.96222686767578, 37.60963821411133]"
56,PV200700,H1N1,1,2280,2024-12-11,2024/25,"[30.973445892333984, -12.683334350585938]"
57,PV200699,H1N1,2,2274,2024-12-11,2024/25,"[82.43134307861328, 18.813039779663086]"
58,PV200698,H1N1,3,2151,2024-12-11,2024/25,"[89.91322326660156, 28.000898361206055]"
59,PV200697,H1N1,8,838,2024-12-11,2024/25,"[3.9287924766540527, 19.436113357543945]"
60,PV200696,H1N1,5,1497,2024-12-11,2024/25,"[32.97771072387695, 34.152164459228516]"
61,PV200695,H1N1,6,1410,2024-12-11,2024/25,"[16.391664505004883, 20.185108184814453]"
62,PV200694,H1N1,7,982,2024-12-11,2024/25,"[-1.0760821104049683, 26.369173049926758]"
63,PV200693,H1N1,4,1701,2024-12-11,2024/25,"[60.321773529052734, 37.806861877441406]"
64,PV033332,H5N1,8,851,,,"[5.7549824714660645, 18.72597885131836]"
65,PV033331,H5N1,6,1410,,,"[13.673544883728027, 17.49270248413086]"
66,PV033330,H5N1,5,1497,,,"[35.55202102661133, 33.147300720214844]"
67,PV033329,H5N1,4,1704,,,"[9.37329387664795, 2.0051181316375732]"
68,PV033328,H5N1,3,2151,,,"[84.22804260253906, 27.789459228515625]"
69,PV033327,H5N1,1,2280,,,"[25.24415397644043, -11.528446197509766]"
70,PV033326,H5N1,7,982,,,"[-3.161346435546875, 22.106441497802734]"
71,PV033325,H5N1,2,2299,,,"[63.66464614868164, 12.760330200195312]"
72,PQ665502,H1N1,1,2280,2024-10-09,2024/25,"[30.894107818603516, -12.674296379089355]"
73,PQ665501,H1N1,2,2274,2024-10-09,2024/25,"[82.44173431396484, 18.833572387695312]"
74,PQ665500,H1N1,3,2151,2024-10-09,2024/25,"[89.98035430908203, 28.083223342895508]"
75,PQ665499,H1N1,8,838,2024-10-09,2024/25,"[3.9287924766540527, 19.436113357543945]"
76,PQ665498,H1N1,5,1497,2024-10-09,2024/25,"[32.97771072387695, 34.152164459228516]"
77,PQ665497,H1N1,6,1410,2024-10-09,2024/25,"[16.473976135253906, 20.253231048583984]"
78,PQ665496,H1N1,7,982,2024-10-09,2024/25,"[-1.0760821104049683, 26.369173049926758]"
79,PQ665495,H1N1,4,1701,2024-10-09,2024/25,"[60.321773529052734, 37.806861877441406]"
80,PP498643,H1N1,1,2280,2024-02-22,2023/24,"[30.844228744506836, -12.69125747680664]"
81,PP498642,H1N1,2,2274,2024-02-22,2023/24,"[82.25312805175781, 18.772226333618164]"
82,PP498641,H1N1,3,2151,2024-02-22,2023/24,"[90.0615234375, 27.964859008789062]"
83,PP498640,H1N1,8,838,2024-02-22,2023/24,"[3.894166946411133, 19.518993377685547]"
84,PP498639,H1N1,5,1497,2024-02-22,2023/24,"[32.90132141113281, 34.07192611694336]"
85,PP498638,H1N1,6,1410,2024-02-22,2023/24,"[16.7014102935791, 20.471221923828125]"
86,PP498637,H1N1,7,982,2024-02-22,2023/24,"[-1.162451148033142, 26.420818328857422]"
87,PP498636,H1N1,4,1701,2024-02-22,2023/24,"[60.088253021240234, 37.79753494262695]"
88,PP432596,H1N1,1,2280,2024-02-06,2023/24,"[30.82417106628418, -12.651595115661621]"
89,PP432595,H1N1,2,2274,2024-02-06,2023/24,"[82.1219253540039, 18.723878860473633]"
90,PP432594,H1N1,3,2151,2024-02-06,2023/24,"[90.69525909423828, 28.293956756591797]"
91,PP432593,H1N1,8,838,2024-02-06,2023/24,"[3.9487648010253906, 19.5942440032959]"
92,PP432592,H1N1,5,1497,2024-02-06,2023/24,"[33.03090286254883, 34.22610092163086]"
93,PP432591,H1N1,6,1410,2024-02-06,2023/24,"[16.603302001953125, 20.391775131225586]"
94,PP432590,H1N1,7,982,2024-02-06,2023/24,"[-1.0674227476119995, 26.372493743896484]"
95,PP432589,H1N1,4,1701,2024-02-06,2023/24,"[60.5238151550293, 38.027408599853516]"
96,PP432588,H1N1,1,2280,2024-01-30,2023/24,"[31.277313232421875, -12.679631233215332]"
97,PP432587,H1N1,2,2274,2024-01-30,2023/24,"[83.18267822265625, 19.155921936035156]"
98,PP432586,H1N1,3,2151,2024-01-30,2023/24,"[91.44245147705078, 28.367382049560547]"
99,PP432585,H1N1,8,838,2024-01-30,2023/24,"[3.813045024871826, 19.35370445251465]"
100,PP432584,H1N1,5,1497,2024-01-30,2023/24,"[32.84770965576172, 34.105812072753906]"
101,PP432583,H1N1,6,1410,2024-01-30,2023/24,"[16.959993362426758, 20.71651268005371]"
102,PP432582,H1N1,7,982,2024-01-30,2023/24,"[-1.0259519815444946, 26.515010833740234]"
103,PP432581,H1N1,4,1701,2024-01-30,2023/24,"[61.12395095825195, 38.44502258300781]"
104,PP432341,H3N2,1,2280,2024-02-06,2023/24,"[21.78857421875, -12.23581600189209]"
105,PP432338,H3N2,1,2280,2024-01-25,2023/24,"[21.73727035522461, -12.186777114868164]"
106,PP432301,H3N2,2,2274,2024-02-06,2023/24,"[62.381019592285156, 11.302425384521484]"
107,PP432299,H3N2,2,2274,2024-01-25,2023/24,"[63.01955032348633, 11.53425407409668]"
108,PP432268,H3N2,3,2151,2024-02-06,2023/24,"[89.33238983154297, 33.942806243896484]"
109,PP432267,H3N2,3,2151,2024-01-25,2023/24,"[88.90214538574219, 33.77239990234375]"
110,PP432233,H3N2,8,838,2024-02-06,2023/24,"[6.540485382080078, 18.386072158813477]"
111,PP432229,H3N2,8,838,2024-01-25,2023/24,"[6.508477210998535, 18.239795684814453]"
112,PP432187,H3N2,5,1497,2024-02-06,2023/24,"[42.51319122314453, 37.30605697631836]"
113,PP432184,H3N2,5,1497,2024-01-25,2023/24,"[42.53179931640625, 37.35552978515625]"
114,PP432143,H3N2,6,1410,2024-02-06,2023/24,"[10.279577255249023, 9.041476249694824]"
115,PP432139,H3N2,6,1410,2024-01-25,2023/24,"[10.325227737426758, 9.050080299377441]"
116,PP432097,H3N2,7,982,2024-02-06,2023/24,"[-5.2066755294799805, 19.67009735107422]"
117,PP432093,H3N2,7,982,2024-01-25,2023/24,"[-5.202639102935791, 19.327606201171875]"
118,PP432052,H3N2,4,1701,2024-02-06,2023/24,"[37.10342025756836, 17.124988555908203]"
119,PP432048,H3N2,4,1701,2024-01-25,2023/24,"[37.23504638671875, 17.17430305480957]"
120,PP000722,H3N2,8,838,2023-11-17,2023/24,"[6.536398410797119, 18.393205642700195]"
121,PP000721,H3N2,7,982,2023-11-17,2023/24,"[-5.198061943054199, 19.740089416503906]"
122,PP000720,H3N2,6,1439,2023-11-17,2023/24,"[5.775814533233643, 0.6307134628295898]"
123,PP000719,H3N2,5,1497,2023-11-17,2023/24,"[42.51319122314453, 37.30605697631836]"
124,PP000718,H3N2,4,1718,2023-11-17,2023/24,"[38.00389862060547, 17.48625373840332]"
125,PP000717,H3N2,3,2151,2023-11-17,2023/24,"[89.3818588256836, 33.979217529296875]"
126,PP000716,H3N2,2,2271,2023-11-17,2023/24,"[62.76044845581055, 11.42599868774414]"
127,PP000715,H3N2,1,2280,2023-11-17,2023/24,"[21.75054359436035, -12.235873222351074]"
128,PP000714,H3N2,8,838,2023-10-24,2023/24,"[6.46820068359375, 18.349824905395508]"
129,PP000713,H3N2,7,982,2023-10-24,2023/24,"[-5.181087493896484, 19.628725051879883]"
130,PP000712,H3N2,6,1439,2023-10-24,2023/24,"[5.720064640045166, 0.5189224481582642]"
131,PP000711,H3N2,5,1497,2023-10-24,2023/24,"[42.51319122314453, 37.30605697631836]"
132,PP000710,H3N2,4,1718,2023-10-24,2023/24,"[38.10565185546875, 17.65071678161621]"
133,PP000709,H3N2,3,2151,2023-10-24,2023/24,"[89.51739501953125, 34.03850555419922]"
134,PP000708,H3N2,2,2272,2023-10-24,2023/24,"[62.54994583129883, 11.399673461914062]"
135,PP000707,H3N2,1,2280,2023-10-24,2023/24,"[21.683298110961914, -12.204827308654785]"
136,OR861589,H1N2,8,838,,,"[3.8957998752593994, 19.566072463989258]"
137,OR861588,H1N2,7,982,,,"[-1.7893069982528687, 25.579376220703125]"
138,OR861587,H1N2,6,1410,,,"[11.298417091369629, 10.162347793579102]"
139,OR861586,H1N2,5,1497,,,"[33.6517333984375, 34.597599029541016]"
140,OR861585,H1N2,4,1701,,,"[49.01987075805664, 29.879697799682617]"
141,OR861584,H1N2,3,2151,,,"[88.03626251220703, 27.52691078186035]"
142,OR861583,H1N2,2,2274,,,"[80.43701934814453, 18.130661010742188]"
143,OR861582,H1N2,1,2280,,,"[29.459680557250977, -12.405630111694336]"
144,OQ992941,H1N1,1,2280,2023-03-21,2022/23,"[31.574111938476562, -12.77068042755127]"
145,OQ992940,H1N1,2,2274,2023-03-21,2022/23,"[82.98326110839844, 19.193134307861328]"
146,OQ992939,H1N1,3,2151,2023-03-21,2022/23,"[91.37116241455078, 28.263347625732422]"
147,OQ992938,H1N1,8,838,2023-03-21,2022/23,"[3.9184813499450684, 19.43085479736328]"
148,OQ992937,H1N1,5,1497,2023-03-21,2022/23,"[32.97325897216797, 34.27464294433594]"
149,OQ992936,H1N1,6,1410,2023-03-21,2022/23,"[16.81856346130371, 20.548662185668945]"
150,OQ992935,H1N1,7,982,2023-03-21,2022/23,"[-1.081600308418274, 26.38448143005371]"
151,OQ992934,H1N1,4,1701,2023-03-21,2022/23,"[61.73308181762695, 38.73683166503906]"
152,OQ764790,H3,6,1410,2022-12-29,2022/23,"[10.574241638183594, 9.283462524414062]"
153,OQ764789,H3,8,838,2022-12-29,2022/23,"[6.463728427886963, 18.223506927490234]"
154,OQ764788,H3,7,982,2022-12-29,2022/23,"[-5.217569351196289, 19.65919303894043]"
155,OQ764787,H3,5,1497,2022-12-29,2022/23,"[42.835166931152344, 37.474998474121094]"
156,OQ764786,H3,4,1701,2022-12-29,2022/23,"[37.20767593383789, 16.891008377075195]"
157,OQ764785,H3,3,2151,2022-12-29,2022/23,"[88.7489242553711, 33.709835052490234]"
158,OQ764784,H3,2,2274,2022-12-29,2022/23,"[63.40401077270508, 11.68480110168457]"
159,OQ764783,H3,1,2280,2022-12-29,2022/23,"[21.611068725585938, -12.20399284362793]"
160,OQ764782,H1,6,1410,2022-12-27,2022/23,"[16.775402069091797, 20.492996215820312]"
161,OQ764781,H1,8,838,2022-12-27,2022/23,"[3.940483570098877, 19.503374099731445]"
162,OQ764780,H1,7,982,2022-12-27,2022/23,"[-1.0294995307922363, 26.493276596069336]"
163,OQ764779,H1,5,1497,2022-12-27,2022/23,"[32.985843658447266, 34.24567794799805]"
164,OQ764778,H1,4,1701,2022-12-27,2022/23,"[61.93505096435547, 38.816062927246094]"
165,OQ764777,H1,3,2151,2022-12-27,2022/23,"[91.86516571044922, 28.501840591430664]"
166,OQ764776,H1,2,2274,2022-12-27,2022/23,"[83.05776977539062, 19.22507667541504]"
167,OQ764775,H1,1,2280,2022-12-27,2022/23,"[31.70020294189453, -12.774975776672363]"
168,OQ764774,H3,6,1410,2022-12-28,2022/23,"[10.57352066040039, 9.267388343811035]"
169,OQ764773,H3,8,838,2022-12-28,2022/23,"[6.4777727127075195, 18.284643173217773]"
170,OQ764772,H3,7,982,2022-12-28,2022/23,"[-5.21257209777832, 19.593273162841797]"
171,OQ764771,H3,5,1497,2022-12-28,2022/23,"[42.949729919433594, 37.60515213012695]"
172,OQ764770,H3,4,1701,2022-12-28,2022/23,"[37.614646911621094, 17.01909637451172]"
173,OQ764769,H3,3,2151,2022-12-28,2022/23,"[89.0276107788086, 33.766109466552734]"
174,OQ764768,H3,2,2274,2022-12-28,2022/23,"[63.48903274536133, 11.646364212036133]"
175,OQ764767,H3,1,2280,2022-12-28,2022/23,"[21.593063354492188, -12.196657180786133]"
176,OQ764766,H3,6,1410,2022-12-23,2022/23,"[10.374969482421875, 9.05715274810791]"
177,OQ764765,H3,8,838,2022-12-23,2022/23,"[6.487399578094482, 18.25365447998047]"
178,OQ764764,H3,7,982,2022-12-23,2022/23,"[-5.27654504776001, 19.57579803466797]"
179,OQ764763,H3,5,1497,2022-12-23,2022/23,"[42.559356689453125, 37.263702392578125]"
180,OQ764762,H3,4,1701,2022-12-23,2022/23,"[36.907291412353516, 16.57738494873047]"
181,OQ764761,H3,3,2151,2022-12-23,2022/23,"[89.60501861572266, 34.133426666259766]"
182,OQ764760,H3,2,2274,2022-12-23,2022/23,"[62.70158767700195, 11.382657051086426]"
183,OQ764759,H3,1,2280,2022-12-23,2022/23,"[21.42661476135254, -12.150039672851562]"
184,OQ764758,H3,6,1410,2022-12-21,2022/23,"[10.382753372192383, 9.098251342773438]"
185,OQ764757,H3,8,838,2022-12-21,2022/23,"[6.480856418609619, 18.212425231933594]"
186,OQ764756,H3,7,982,2022-12-21,2022/23,"[-5.263067722320557, 19.59426498413086]"
187,OQ764755,H3,5,1497,2022-12-21,2022/23,"[42.56806945800781, 37.28730010986328]"
188,OQ764754,H3,4,1701,2022-12-21,2022/23,"[36.90207290649414, 16.56352424621582]"
189,OQ764753,H3,3,2151,2022-12-21,2022/23,"[89.47177124023438, 34.05412673950195]"
190,OQ764752,H3,2,2274,2022-12-21,2022/23,"[62.83409881591797, 11.407920837402344]"
