Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PV282671,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15464,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-03-14,ssRNA(-)
PV282672,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15465,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282673,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15466,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282674,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15469,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-18,2025-03-14,ssRNA(-)
PV282716,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15464,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-03-14,ssRNA(-)
PV282717,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15465,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282718,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15466,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282719,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15469,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-18,2025-03-14,ssRNA(-)
PV282760,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15464,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-03-14,ssRNA(-)
PV282761,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15465,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
