#Gene id	Chr	Start	End	Brief description
LSAT_V11C100000010	1	3031	5742	-
LSAT_V11C100000020	1	13518	14855	-
LSAT_V11C100000030	1	15038	16321	-
LSAT_V11C100000040	1	16506	29049	-
LSAT_V11C100000050	1	34198	37866	-
LSAT_V11C100000060	1	41303	41644	-
LSAT_V11C100000070	1	41678	41953	uncharacterized LOC111905264 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000080	1	42041	44605	-
LSAT_V11C100000090	1	44824	45237	-
LSAT_V11C100000100	1	45446	47290	-
LSAT_V11C100000110	1	53165	53437	-
LSAT_V11C100000120	1	78825	92474	SCY1-like protein 2 B [Lactuca sativa (garden lettuce)]
LSAT_V11C100000130	1	109682	112270	probable protein phosphatase 2C 60 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000140	1	167990	169547	LIM domain-containing protein WLIM1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000160	1	249705	254155	uncharacterized LOC111905259 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000170	1	313980	314870	-
LSAT_V11C100000180	1	326848	330743	WD repeat-containing protein PCN [Lactuca sativa (garden lettuce)]
LSAT_V11C100000190	1	509426	509929	uncharacterized LOC111905261 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000230	1	527791	528879	transcription initiation factor TFIID subunit 11 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000240	1	658432	662337	WD repeat-containing protein PCN [Lactuca sativa (garden lettuce)]
LSAT_V11C100000250	1	694934	695305	-
LSAT_V11C100000260	1	757751	759550	-
LSAT_V11C100000270	1	849293	856360	pre-mRNA-processing protein 40A [Lactuca sativa (garden lettuce)]
LSAT_V11C100000280	1	892325	895347	probable xyloglucan glycosyltransferase 12 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000290	1	986857	990180	transcription factor bHLH74 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000300	1	1016592	1018889	uncharacterized LOC111894745 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000310	1	1071717	1077770	branched-chain-amino-acid aminotransferase 2, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100000320	1	1127369	1131184	-
LSAT_V11C100000330	1	1152395	1155579	lipid droplet phospholipase 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000340	1	1156746	1160542	inositol-tetrakisphosphate 1-kinase 3 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000350	1	1189346	1192224	SEC1 family transport protein SLY1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000360	1	1213371	1215580	-
LSAT_V11C100000370	1	1305499	1310610	sucrose transport protein SUC4 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000380	1	1539825	1542010	protein DETOXIFICATION 48-like [Lactuca sativa (garden lettuce)]
LSAT_V11C100000390	1	1601995	1613859	uncharacterized LOC111894739 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000400	1	1625423	1629692	CBL-interacting serine/threonine-protein kinase 8 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000410	1	1629887	1632828	pentatricopeptide repeat-containing protein At1g09900 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000420	1	1649289	1651218	uncharacterized LOC111894689 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000440	1	1688706	1689120	-
LSAT_V11C100000450	1	1713243	1714421	-
LSAT_V11C100000470	1	1714923	1715742	-
LSAT_V11C100000480	1	1717285	1717637	-
LSAT_V11C100000490	1	1741784	1752823	probable rhamnogalacturonate lyase B [Lactuca sativa (garden lettuce)]
LSAT_V11C100000500	1	1801453	1802075	-
LSAT_V11C100000510	1	1802826	1804135	-
LSAT_V11C100000530	1	1807872	1810748	uncharacterized LOC111894732 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000540	1	1812878	1815597	-
LSAT_V11C100000550	1	1820326	1822361	-
LSAT_V11C100000560	1	1836806	1837779	-
LSAT_V11C100000570	1	1883607	1884036	-
LSAT_V11C100000580	1	1890142	1890493	-
LSAT_V11C100000590	1	1890927	1892863	uncharacterized LOC111894714 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000600	1	1903120	1907636	-
LSAT_V11C100000610	1	1912124	1914664	-
LSAT_V11C100000620	1	1993933	2000300	probable rhamnogalacturonate lyase B [Lactuca sativa (garden lettuce)]
LSAT_V11C100000640	1	2023440	2037330	E3 ubiquitin-protein ligase UPL2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000650	1	2073655	2085949	protein SABRE [Lactuca sativa (garden lettuce)]
LSAT_V11C100000660	1	2222904	2230850	serine/threonine-protein kinase CTR1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000670	1	2238876	2241408	double-stranded RNA-binding protein 7 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000690	1	2272616	2273377	-
LSAT_V11C100000700	1	2273458	2277762	probable folate-biopterin transporter 4 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000710	1	2285551	2287666	uncharacterized LOC111894725 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000720	1	2291186	2294176	protein NETWORKED 2A-like [Lactuca sativa (garden lettuce)]
LSAT_V11C100000730	1	2295961	2296947	transcription factor bHLH131 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000740	1	2297394	2300907	ubiquitin carboxyl-terminal hydrolase 16 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000750	1	2303822	2304811	-
LSAT_V11C100000760	1	2305673	2312269	rho GTPase-activating protein REN1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000770	1	2350387	2353718	14-3-3-like protein GF14 lambda [Lactuca sativa (garden lettuce)]
LSAT_V11C100000780	1	2390616	2391011	-
LSAT_V11C100000790	1	2391767	2392421	-
LSAT_V11C100000820	1	2451173	2453079	-
LSAT_V11C100000830	1	2478469	2482034	-
LSAT_V11C100000840	1	2482077	2482568	-
LSAT_V11C100000850	1	2523281	2523572	-
LSAT_V11C100000870	1	2531408	2533573	cyclin-D4-1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000880	1	2608568	2609044	-
LSAT_V11C100000890	1	2686267	2694861	uncharacterized LOC111894718 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000900	1	2708716	2710136	-
LSAT_V11C100000910	1	2788682	2791841	transcription factor SAC51 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000920	1	2801153	2807191	protein ALTERED SEED GERMINATION 2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000930	1	2878230	2879049	-
LSAT_V11C100000940	1	2880821	2884079	-
LSAT_V11C100000950	1	2886847	2887772	uncharacterized LOC111894741 [Lactuca sativa (garden lettuce)]
LSAT_V11C100000960	1	2960766	2961182	-
LSAT_V11C100000970	1	2993481	2994176	-
LSAT_V11C100000990	1	3009761	3012052	serine/threonine-protein kinase-like protein At3g51990 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001010	1	3047283	3050259	GEM-like protein 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001020	1	3090722	3094137	transport inhibitor response 1-like protein [Lactuca sativa (garden lettuce)]
LSAT_V11C100001040	1	3114318	3114694	-
LSAT_V11C100001050	1	3123332	3123804	-
LSAT_V11C100001060	1	3140494	3145381	pyridoxine/pyridoxamine 5'-phosphate oxidase 1, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100001070	1	3187496	3190828	uncharacterized LOC111894744 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001080	1	3191167	3195180	uncharacterized LOC111894722 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001090	1	3200962	3202999	bet1-like protein At4g14600 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001100	1	3204297	3207252	serine/threonine-protein kinase PEPKR2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001110	1	3209250	3212015	phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100001120	1	3212925	3214926	pentatricopeptide repeat-containing protein At5g27460 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001130	1	3379914	3381329	-
LSAT_V11C100001140	1	3383485	3384897	-
LSAT_V11C100001150	1	3385283	3386423	-
LSAT_V11C100001160	1	3391036	3392448	-
LSAT_V11C100001170	1	3393357	3393902	-
LSAT_V11C100001180	1	3398964	3400376	-
LSAT_V11C100001190	1	3401285	3401830	-
LSAT_V11C100001200	1	3404766	3408204	-
LSAT_V11C100001210	1	3409113	3409658	-
LSAT_V11C100001220	1	3414575	3415987	-
LSAT_V11C100001230	1	3416896	3417441	-
LSAT_V11C100001240	1	3421098	3424137	-
LSAT_V11C100001260	1	3426157	3426702	-
LSAT_V11C100001270	1	3427611	3431049	-
LSAT_V11C100001290	1	3445934	3453438	purine permease 3 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001300	1	3485806	3494140	purine permease 3 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001310	1	3549281	3550144	-
LSAT_V11C100001320	1	3659329	3660684	purine permease 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001330	1	3666017	3666643	-
LSAT_V11C100001350	1	3773377	3774294	protein FATTY ACID EXPORT 2, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100001360	1	3776992	3777933	E3 ubiquitin-protein ligase ATL15 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001370	1	3791974	3794752	-
LSAT_V11C100001380	1	3821767	3822672	RING-H2 finger protein ATL52 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001390	1	3825666	3827563	uncharacterized LOC111910754 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001400	1	3832848	3834312	uncharacterized LOC111910752 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001410	1	3844367	3845439	uncharacterized LOC111910750 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001420	1	3850017	3851265	uncharacterized LOC111910770 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001440	1	3871570	3874304	-
LSAT_V11C100001450	1	3879592	3880819	uncharacterized LOC111910768 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001460	1	3898813	3900037	glutathione S-transferase T2-like [Lactuca sativa (garden lettuce)]
LSAT_V11C100001470	1	3915280	3918765	uncharacterized LOC111910767 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001480	1	3922302	3923136	-
LSAT_V11C100001490	1	3928583	3929454	-
LSAT_V11C100001500	1	3948686	3949051	classical arabinogalactan protein 5 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001510	1	3976561	3981430	-
LSAT_V11C100001520	1	3984839	3989835	uncharacterized LOC111910765 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001530	1	3998547	4001977	uncharacterized LOC111910764 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001540	1	4003279	4008374	synaptonemal complex protein 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001550	1	4075475	4075827	-
LSAT_V11C100001560	1	4096988	4097464	uncharacterized LOC111910761 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001570	1	4140089	4141845	-
LSAT_V11C100001580	1	4170358	4170802	-
LSAT_V11C100001590	1	4173683	4174283	-
LSAT_V11C100001600	1	4175529	4179544	O-fucosyltransferase 7 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001610	1	4181166	4182834	histone H3.3 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001620	1	4185746	4188491	thylakoid lumenal 29 kDa protein, chloroplastic [Lactuca sativa (garden lettuce)]
LSAT_V11C100001630	1	4217246	4217549	-
LSAT_V11C100001650	1	4262585	4263988	14-3-3-like protein [Lactuca sativa (garden lettuce)]
LSAT_V11C100001660	1	4332636	4334118	Other Designations: LOW QUALITY PROTEIN: wall-associated receptor kinase 2
LSAT_V11C100001670	1	4340456	4341394	wall-associated receptor kinase 2-like [Lactuca sativa (garden lettuce)]
LSAT_V11C100001680	1	4360573	4362091	40S ribosomal protein S6 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001700	1	4415559	4418851	F-box protein FBW2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001710	1	4457943	4458869	protein EXORDIUM-like 2 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001720	1	4479346	4482650	-
LSAT_V11C100001730	1	4489635	4490308	-
LSAT_V11C100001740	1	4502120	4502647	uncharacterized LOC128126048 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001750	1	4504591	4505553	protein PHOSPHATE-INDUCED 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001760	1	4516395	4516931	-
LSAT_V11C100001770	1	4518700	4519662	protein PHOSPHATE-INDUCED 1 [Lactuca sativa (garden lettuce)]
LSAT_V11C100001780	1	4553415	4555186	7-deoxyloganetin glucosyltransferase [Lactuca sativa (garden lettuce)]
